City,State,2014_avg,2015_avg,2016_avg,2017_avg,2018_avg,2019_avg,2020_avg,2021_avg,2022_avg,2023_avg,2024_avg
Oak Harbor,WA,275443,294833,331469,365213,395404,412138,454007,557129,614298,595535,582638
Orangeburg,SC,87473,86933,92389,95101,100849,105210,114644,136523,144322,140509,140410
Watertown,WI,173422,178599,186787,198333,210391,224432,240923,270023,292168,309656,310123
Meadville,PA,93328,97280,98917,104398,111702,112792,120912,138309,147391,152576,141734
Elmira,NY,98194,97036,98306,99264,104081,107311,113096,126467,137940,143490,142770
Great Falls,MT,169205,174990,180586,185356,193605,202096,213258,246600,287681,304161,310570
Laurel,MS,102282,111733,111469,110792,113116,117078,122359,135677,143605,140093,134819
Russellville,AR,114267,119449,126591,130414,135370,137979,146561,161067,174064,178472,175736
Indiana,PA,105262,108484,111072,115178,114292,117841,123972,134113,141784,146307,148239
Midland,MI,123021,128890,132119,134852,139060,150872,161759,182438,199560,209278,207907
Kokomo,IN,83316,87851,93040,98635,106676,114036,122356,139009,154704,160247,161941
Bloomsburg,PA,164572,165832,171105,172502,177202,186606,199656,214560,223562,229647,226334
Opelousas,LA,115136,125950,125335,125157,121325,130705,129119,129021,129982,130303,119661
Helena,MT,215234,226757,239394,251055,264597,280166,304824,376156,440463,444167,448078
Key West,FL,447886,477751,522423,550051,568822,583157,623109,749545,966045,992919,999758
Talladega,AL,105349,105197,110160,113869,122683,128483,143097,168117,181655,181362,180356
Stillwater,OK,130841,137758,143111,145760,152302,159014,168299,185754,203370,209351,211164
Columbus,IN,139149,144112,149378,153934,162261,174070,186513,208937,232611,245605,248818
Athens,TX,144323,149511,156362,167276,180210,184751,199547,245806,279198,273181,264831
Centralia,WA,163510,173239,189715,210948,238454,264180,304511,378671,423103,416999,417270
Manitowoc,WI,118318,120304,124223,127049,132792,144517,156750,177861,196080,211310,216364
Hinesville,GA,131504,131867,130441,129538,136196,143688,152886,172220,208105,226518,233618
DuBois,PA,87482,90908,92072,106634,106583,106741,113752,127905,124125,121283,112299
Warsaw,IN,142443,149438,154827,161780,173016,185082,197697,225022,251854,261476,259674
Plattsburgh,NY,123916,125574,128036,133416,138511,146301,155548,172335,191779,198410,199891
Statesboro,GA,126081,129010,132193,137620,145327,150711,160476,182955,216332,237863,250591
Casper,WY,200250,213538,209667,200452,199790,210256,222813,242121,264268,277084,280243
Wilson,NC,104420,103747,104504,108921,115102,120432,129454,153830,184945,200108,200995
Glenwood Springs,CO,410391,449953,475427,500713,530733,546231,576058,707583,834382,861216,882045
Seneca,SC,139448,144127,147841,151755,157351,167137,182998,218785,251474,258747,259365
Minot,ND,247881,247401,231078,217248,195751,189833,192756,203986,218360,235032,230891
Olean,NY,81747,81099,83408,85695,88389,92110,98332,116679,135899,139506,139840
Chillicothe,OH,108060,112905,119038,118877,124754,134013,147104,166805,180859,188204,190488
Searcy,AR,119733,123515,127473,128714,129820,132421,138961,157276,173009,185035,184691
Grand Island,NE,131702,138394,145465,151027,158731,167822,178336,201321,225102,230296,230781
Port Angeles,WA,210718,223290,243529,269862,299702,325066,354005,426449,485613,475902,475227
Auburn,NY,117907,120400,122252,126509,131640,134829,145577,166141,180893,190623,193911
Huntsville,TX,148930,158295,168138,174322,185706,197110,211277,240224,273230,264872,256068
Keene,NH,169233,175288,178502,186498,197657,207050,226070,269503,312578,335893,338239
Heber,UT,402277,452242,496231,544267,595956,633493,701959,896639,1080031,1049176,1060968
Quincy,IL,117568,120240,126821,131411,129393,134735,139750,147801,160757,166610,160751
Sandusky,OH,123320,125650,127539,132530,138347,145994,156731,178173,196150,205084,207992
Findlay,OH,127596,134106,141005,147382,154729,159727,172227,191056,207580,215009,219045
Frankfort,KY,120780,125596,130622,134739,140245,142712,158377,181523,201848,211053,213526
Danville,IL,62900,63860,66019,65686,65101,66368,67756,73609,78361,84222,81737
Aberdeen,WA,127807,132999,146141,162728,185505,208329,237299,294645,326327,317911,312051
Portsmouth,OH,81597,82473,81141,85831,85709,91958,95831,106406,116409,119462,120709
Somerset,PA,107316,106175,105415,106357,109427,113274,122082,141950,157813,160597,156833
Wisconsin Rapids,WI,116996,118267,121149,127413,136845,146834,156645,166947,182577,196354,196340
Jefferson,GA,161712,175288,187731,203546,221751,238370,256966,309150,370567,374877,381136
Kapaa,HI,465357,504818,528827,554849,589084,613123,657579,749829,887605,934813,949221
Palatka,FL,81502,85907,91639,100257,111876,127552,144752,175471,203035,203318,202746
Gallup,NM,147605,150662,145728,140899,149968,160177,172982,188255,193535,193944,194676
Hobbs,NM,188409,192529,186314,183915,190749,203016,212400,207184,186485,171245,161901
Shawnee,OK,89315,93491,95568,97971,101424,107561,122786,141679,160776,167799,170168
Mount Airy,NC,109904,113118,116358,119374,125969,132251,143415,171649,199445,205407,203987
Stevens Point,WI,156729,162834,171694,180651,190301,203084,216767,235790,250415,267467,263903
Greeneville,TN,98949,109085,114586,120147,125615,137523,147854,177355,200686,210990,215132
Greenwood,SC,83566,88556,93845,93871,98900,106690,116757,133885,150482,157050,154976
Lake City,FL,112227,116580,123441,132300,145126,152092,170159,202033,243022,247631,250928
Klamath Falls,OR,130592,138037,147895,155598,170801,182014,199176,242441,275177,280772,280548
Morehead City,NC,231164,235472,246798,254993,265153,275445,293277,351920,416950,439133,442872
Clearlake,CA,166051,183843,206240,229046,250982,264463,276189,319456,344291,323359,311200
Alamogordo,NM,120685,127170,120295,123092,128360,133963,144599,164985,193381,205433,205653
Roanoke Rapids,NC,58409,59745,59950,61053,64841,67072,72790,85952,95721,95600,91111
Farmington,MO,87701,96945,108968,111490,116453,121832,131261,152294,170171,174606,175232
Muskogee,OK,76201,78340,84723,83597,86123,91017,100350,117058,132884,137192,137980
Marion,IN,75367,77583,80325,81954,87394,92749,97835,112827,125139,127414,129195
Faribault,MN,179209,185612,199999,216035,232545,244365,261108,291508,318472,324210,322013
Richmond,IN,88934,87371,91449,95924,100871,105210,111932,126703,141669,147881,148016
Marquette,MI,129799,128858,131928,137215,143805,150195,159103,182094,206980,215848,213367
North Wilkesboro,NC,119747,124250,129179,128700,131439,145933,158560,182983,209254,220463,213335
